Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
561,NCT02691026,Phase 2,Interventional,Nerve Sheath Neoplasms|Neurofibrosarcoma,Percentage of patients with at least stable disease after 18 weeks of treatment assessed by RECIST 1.1.,Adult|Older Adult,Drug,Pembrolizumab,Keytruda,Pembrolizumab,"Antineoplastic Agents, Immunological|Antineoplastic Agents",Oslo University Hospital,OTHER,Oslo University Hospital,Oslo University Hospital,Merck Sharp & Dohme LLC,INDUSTRY,"This is phase II, single arm, open-label, interventional trial of pembrolizumab (MK-3475) in subjects with metastatic or locally advanced/unresectable or metastatic malignant peripheral nerve sheath tumour (MPNST).||The patients will be treated with pembrolizumab for up to 10 cycles.||Primary objective is to evaluate the percentage of patients with curatively unresectable MPNST who have achieved clinical response; complete response (CR), partial response (PR), or stable disease (SD) at 18 weeks as assessed by the Investigator, by using RECIST, v1.1."
562,NCT04328831,Phase 1,Interventional,Neoplasms,Number of DLT|Number of treatment related AEs|Number of patients with response,Adult|Older Adult,Biological,IBI322,,,,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,,,,,"This is a phase I study evaluating the safety, tolerability and preliminary efficacy of IBI322 in cancer subjects who failed standard treatment."
563,NCT02544711,Not Applicable,Interventional,Bone Neoplasms,ICER between the innovation treatment group and the reference treatment group.,Adult|Older Adult,Device|Procedure,Patient specific instrument|Conventional surgical treatment,PSI-T|3D-Side,,,Nantes University Hospital,OTHER,,Nantes University Hospital,,,"Primitive malignant bone tumor or mixt tumor (compounded of soft tissues and bone) is a rare pathology particularly within the pelvis, the sacrum or the hip (between 25 and 80 new cases in France per year).||The reference treatment is a surgical ""en bloc"" resection associated or not to a medical treatment. This surgery remains highly challenging because of the complex three-dimensional geometry of the pelvic bone and the proximity of important organs and neurovascular structures. The local recurrence rate is significantly increased when the resection does not respect a safe tissues margin (R0 margin).||A new technology has been developed and used in different reference sites the Patient Specific Instrument (PSI), manufactured by 3D-Side. The PSI allows for a more secure and reliable surgical gesture, leading to more frequent R0 margins.||The main objective of this study is to compare the efficiency of the PSI for bone tumor resections within the pelvis with respect to the reference method."
564,NCT00550628,,Observational,Precancerous Conditions,Feasibility of ex-vivo imaging of colon cancer and colon polyps using fludeoxyglucose F 18 positron emission tomography (FDG PET),Child|Adult|Older Adult,Genetic|Genetic|Genetic|Genetic|Genetic|Genetic|Other|Other|Other|Procedure|Procedure|Radiation,DNA methylation analysis|fluorescence in situ hybridization|gene expression analysis|polymerase chain reaction|protein expression analysis|reverse transcriptase-polymerase chain reaction|diagnostic laboratory biomarker analysis|immunoenzyme technique|immunohistochemistry staining method|biopsy|therapeutic conventional surgery|fludeoxyglucose F 18,,Fluorodeoxyglucose F18,Radiopharmaceuticals|Molecular Mechanisms of Pharmacological Action,Memorial Sloan Kettering Cancer Center,OTHER,,Memorial Sloan Kettering Cancer Center|Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),NIH,"RATIONALE: Diagnostic imaging procedures, such as fludeoxyglucose F 18 PET, may be effective in detecting cancer or recurrence of cancer, or premalignant polyps.||PURPOSE: This clinical trial is studying fludeoxyglucose F 18-PET imaging to see how well it works in determining protein and gene expression signatures in patients with premalignant polyps or colon cancer."
565,NCT00301756,Phase 2,Interventional,"Carcinoma|Neoplasms|Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Brenner Tumor|Recurrence","Efficacy of Belinostat in Terms of Complete or Partial Response; Disappearance of All Target Lesions or at Least a 30% Decrease in the Sum of the Longest Diameter of Target Lesions, Taking as Reference the Baseline Sum LD",Adult|Older Adult,Drug|Other,Belinostat|Laboratory Biomarker Analysis,Beleodaq|PXD 101|PXD101,Belinostat,Antineoplastic Agents|Histone Deacetylase Inhibitors|Enzyme Inhibitors|Molecular Mechanisms of Pharmacological Action,National Cancer Institute (NCI),NIH,,University Health Network Princess Margaret Cancer Center P2C,,,"This phase II trial studies how well belinostat works in treating patients with ovarian epithelial cancer, primary peritoneal cancer, or fallopian tube cancer that have spread to other places in the body or ovarian low malignant potential tumors. Belinostat may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth."
566,NCT05419375,Phase 2,Interventional,Neoplasms,Proportion of participants with evaluable biomarker results|Proportion of participants eligible for a linked Roche clinical trial,Adult|Older Adult,Other,Screening platform,,,,Hoffmann-La Roche,INDUSTRY,,Hoffmann-La Roche,,,The study objective is to determine the biomarker status of a participant's tumor tissue and use that status to determine eligibility for a linked Roche clinical trial.
567,NCT04338659,Phase 1,Interventional,Neoplasms,Dose Limiting Toxicity (DLT)|Treatment-related Adverse Events (TRAEs),Adult|Older Adult,Biological,IBI322 Recombinant anti-human CD47/PD-L1 bispecific antibody injection,IBI322,"Antibodies|Antibodies, Bispecific",Immunologic Factors|Physiological Effects of Drugs,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,,,,,"This is a phase I study evaluating the safety, tolerability and preliminary efficacy of IBI322 in cancer subjects who failed standard treatment."
568,NCT01391533,Phase 1,Interventional,Neoplasms,Dose Escalation To determine the maximum tolerated dose (MTD) of SAR125844|Expansion Cohorts To evaluate the preliminary anti-tumoral effect of SAR125844,Adult|Older Adult,Drug,SAR125844,,,,Sanofi,INDUSTRY,,Sanofi,,,"Primary Objectives:||To determine the maximum tolerated dose (MTD) of SAR125844. To confirm safety profile of SAR125844 when administered as single agent at the MTD.||To evaluate the preliminary anti-tumoral effect of SAR125844 in patients with MET-gene amplified solid tumors (including sub-group of MET-amplified non-small cell lung cancer [NSCLC] patients) and in patients with Phospho-MET positive tumors without MET-gene amplification.||Secondary Objectives:||To characterize the global safety profile including cumulative toxicities. To evaluate the pharmacokinetic profile of SAR125844 in the proposed dosing schedule(s).||To assess preliminary antitumor activity in patients with measurable/evaluable disease, according to RECIST 1.1 criteria.||To explore the pharmacodynamic effects (PD) of SAR125844. To explore MET gene amplification status in Circulating Tumoral Cells (CTCs) and on tumor biopsies collected during the study, in the escalation part only.||To evaluate other pharmacodynamic biomarkers and help selection of patients who could benefit from SAR125844.||To explore MET-gene amplification status in circulating DNA."
569,NCT05266612,Phase 1,Interventional,Neoplasms,Incidence of Adverse Events|MTD,Adult|Older Adult,Drug,VG2025,,,,Virogin Biotech Canada Ltd,INDUSTRY,,,,,"This is a Phase 1, open-label, dose-escalation trial using standard 3+3 dose-escalation design in patients with advanced malignant solid tumors. All patients within a given dose level cohort will be treated with the same dose schedule of VG2025, administered as bi-weekly intratumoral injections at Day 1 and Day 15. Dose limiting toxicity (DLT) evaluation period is for 4 weeks from start of treatment Day 1 through Day 28."
570,NCT02400996,,Observational,"Neoplasms|Endocrine Gland Neoplasms|Adenoma, Islet Cell",Nonfunctioning and Malignant Pancreatic Endocrine Neoplasms,Child|Adult|Older Adult,,,,,,Medical College and Hospital Kolkata,OTHER,Sir Ganga Ram Hospital,"Sir Ganga Ram Hospital, New Delhi|Sir Ganga Ram Hospital, New Delhi|Sir Ganga Ram Hospital, New Delhi|Sir Ganga Ram Hospital, New Delhi|Sir Ganga Ram Hospital, New Delhi|Sir Ganga Ram Hospital, New Delhi",Sir Ganga Ram Hospital,OTHER,A single institutional study of Pancreatic Endocrine Neoplasms over 18 years.
571,NCT05417750,Phase 1,Interventional,Neoplasms|Drug-Related Side Effects and Adverse Reactions,Maximal Tolerance Dose|Dose Limiting Toxicity|Adverse Events,Adult|Older Adult,Drug,TIL therapy,,,,Shanghai Juncell Therapeutics,INDUSTRY,,,,,"20-60 participants are expected to be enrolled for the Phase I clinical trial which is further divided into two parts: a ""3+3"" dose escalation study and an expanded enrollment study.||The Phase I clinical trial is expected to be finished in 36 months. To be specific, the dose escalation study plans to include patients with advanced malignant solid tumors with clear pathological diagnosis, including melanoma, cervical cancer, head and neck squamous cell tumors, non-small cell lung cancer and breast cancer, etc.; while the expanded enrollment study plans to include those with melanoma, cervical cancer, and head and neck squamous cell tumors."
572,NCT03908814,Phase 1,Interventional,Neoplasms,Number of participants with dose limiting toxicity (DLT)|Maximum tolerable dose (MTD),Adult|Older Adult,Drug,Whole Human Anti-PD-L1 Antibody Injection (LDP),LDP,Antibodies,Immunologic Factors|Physiological Effects of Drugs,Dragonboat Biopharmaceutical Company Limited,INDUSTRY,,Shanghai East Hospital,Shanghai East Hospital,OTHER,"This is a phase I, open-label, multiple-dose, dose-escalation study to evaluate the safety, tolerability, pharmacokinetics and anti-tumor activity of LDP in subjects with advanced malignant tumors."
573,NCT02557243,,Observational,Neoplasms|Bone Neoplasms|Soft Tissue Neoplasms,Overall survival (OS)|Event Free Survival (EFS),Child|Adult,,,,,,Assiut University,OTHER,Assiut University,,,,The aim of this study is to identify demographic & disease characteristics in pediatric oncology patients diagnosed with soft tissue & bone tumors involving the extremities & treatment outcomes in these patients.
574,NCT01204684,Phase 2,Interventional,Glioblastoma|Glioma|Astrocytoma|Oligodendroglioma,Most effective combination of DC vaccine components,Adult|Older Adult,Biological|Biological|Biological,autologous tumor lysate-pulsed DC vaccination|Tumor lysate-pulsed DC vaccination+0.2% resiquimod|Tumor-lysate pulsed DC vaccination +adjuvant polyICLC,,Poly ICLC,Interferon Inducers|Immunologic Factors|Physiological Effects of Drugs,Jonsson Comprehensive Cancer Center,OTHER,,,,,"The main purpose of this study is to evaluate the most effective immunotherapy vaccine components in patients with malignant glioma. Teh investigators previous phase I study (IRB #03-04-053) already confirmed that this vaccine procedure is safe in patients with malignant brain tumors, and with an indication of extended survival in several patients. However, the previous trial design did not allow us to test which formulation of the vaccine was the most effective. This phase II study will attempt to dissect out which components are most effective together. Dendritic cells (DC) (cells which ""present"" or ""show"" cell identifiers to the immune system) isolated from the subject's own blood will be treated with tumor-cell lysate isolated from tumor tissue taken from the same subject during surgery. This pulsing (combining) of antigen-presenting and tumor lysate will be done to try to stimulate the immune system to recognize and destroy the patient's intracranial brain tumor. These pulsed DCs will then be injected back into the patient intradermally as a vaccine. The investigators will also utilize adjuvant imiquimod or poly ICLC (interstitial Cajal-like cell) in some treatment cohorts. It is thought that the host immune system might be taught to ""recognize"" the malignant brain tumor cells as ""foreign"" to the body by effectively presenting unique tumor antigens to the host immune cells (T-cells) in vivo."
